cutoff,subsystem,ftype,n_fail_cum,gamma,m1,m1_lo95,m1_hi95,m1_rhat
2019-09-30,17,1,0,1043.9805003483311,3819.812866008987,203.69943830902787,29771.594946861307,1.0024553903155737
2019-09-30,17,2,0,1153.2500538485872,4303.308008444556,198.91545805016938,36711.25863828039,1.0024553903155737
2019-09-30,17,6,0,1970.8389562316124,7137.134360311653,326.60460240423754,62276.83265479995,1.0024553903155737
2019-09-30,18,1,0,1043.8565956315767,3891.4527425094484,197.24091139017662,33567.96253435931,1.0024553903155737
2019-09-30,18,2,0,1112.5864692190162,4120.630645388081,189.75483701981005,37553.482289482454,1.0024553903155737
2019-09-30,18,6,0,8624.673321327604,31580.680107138578,1386.4085266170937,272188.71810785844,1.0024553903155737
2019-09-30,19,1,0,120.10736216833503,440.40174791494013,34.84093896934068,2840.1433781849983,1.0024553903155737
2019-09-30,19,2,0,288.85228537490457,1101.0429257610194,66.9185633981405,8377.004592622492,1.0024553903155737
2019-09-30,19,6,0,386.0647669166745,1425.879620056507,83.1760696045498,11213.788842341726,1.0024553903155737
2019-09-30,20,1,0,219.77116135547806,852.6071895984061,52.542251170986944,6524.099715243243,1.0024553903155737
2019-09-30,20,2,0,168.922781136514,635.8050068553523,45.491884043115455,4414.689617331617,1.0024553903155737
2019-09-30,20,6,0,1025.1404103469342,3812.8439660301433,190.23531043530818,30991.225460432393,1.0024553903155737
2019-09-30,21,1,0,1072.981832300609,3953.610078679696,197.73814978700415,32186.344665759785,1.0024553903155737
2019-09-30,22,1,0,2073.691856137523,7542.863067875256,321.9704491546677,68000.14910436855,1.0024553903155737
2019-09-30,22,2,0,16486.269551610923,58697.182141930665,2602.6943066424915,552640.0617457263,1.0024553903155737
2019-09-30,22,6,0,56719.88505851517,207446.22813315468,8605.087386073963,1765466.662451233,1.0024553903155737
2019-09-30,23,1,0,476.10710879038794,1792.181565419893,91.84814227852853,14078.702365774912,1.0024553903155737
2019-09-30,23,2,0,744.4984063896542,2741.17066261412,147.6843018894628,23777.151075495676,1.0024553903155737
2019-09-30,23,6,0,2879.7909412532017,10396.89778519906,471.4997637801843,90618.21476350435,1.0024553903155737
2019-09-30,24,1,0,4470.242826371721,16099.042569991529,701.3645414177521,145688.40913308068,1.0024553903155737
