cutoff,subsystem,ftype,n_fail_cum,gamma,m3,m3_lo95,m3_hi95
2020-04-30,17,6,0,2073.173012162338,44089.152169716705,5.684058440712817e-21,28.78712239095936
2020-04-30,18,1,0,1146.1906515623027,25915.798894440715,9.353021134722002e-21,35.649953993253746
2020-04-30,18,2,1,607.460262574871,148.0612331925419,2.9325370953902285e-11,116.34582007302605
2020-04-30,18,6,0,8727.00737725833,167844.19202851751,3.5570207702336294e-21,34.25687611417358
2020-04-30,19,1,0,222.44141809906097,4471.722651250166,8.151312238940257e-14,234.9694861067257
2020-04-30,19,2,1,195.59317065281527,115.05674970620167,0.076179902480362,152.15806673433843
2020-04-30,19,6,0,488.3988228474004,11778.0126305801,1.313166391344113e-19,98.81470721489131
2020-04-30,20,1,0,322.105217286204,7543.800650207422,4.436002317996587e-17,140.36410804197763
2020-04-30,20,2,0,271.2568370672399,6067.666301690328,1.6005107462230126e-15,223.7234312795581
2020-04-30,20,6,1,563.7372331388301,148.2692938889779,2.591768847515832e-16,101.41339661641761
2020-04-30,21,1,0,1175.3158882313348,26504.425212210004,9.255506895795868e-21,37.823927734256614
2020-04-30,22,1,0,2176.0259120682485,46060.06260360524,6.461588607296947e-21,33.17951382784075
2020-04-30,22,2,1,8294.301803770824,142.34859590901053,1.5058098585198634e-05,161.84043278350782
2020-04-30,22,6,0,56822.21911444589,1049921.982650347,3.685822001816979e-21,118.38996594155019
2020-04-30,23,1,0,578.4411647211139,13874.491058631638,2.8184715178448954e-20,77.7568050423555
2020-04-30,23,2,0,846.8324623203802,19738.12235610832,1.4163317336915213e-20,49.53086944123969
2020-04-30,23,6,0,2982.124997183928,61349.8652989984,4.830381472170094e-21,29.08324206671072
2020-04-30,24,1,0,4572.576882302447,91078.20168735346,4.055165794289023e-21,20.297419917725332
2020-04-30,24,2,1,2108.1124848746244,129.994958347783,0.0026964663794894627,162.53819011409138
2020-04-30,24,6,0,30428.671420622042,566136.5231945838,3.45714953572131e-21,48.43569378641569
2020-04-30,25,1,0,717.7370064134868,16972.206995966066,2.1584027364939477e-20,73.88068022045006
2020-04-30,26,1,0,1272.7062507217088,28460.701409128626,8.977475963458453e-21,30.49578592067936
2020-04-30,26,2,1,10302.792034124757,143.18801232250894,3.60312524991733e-06,169.56815189527748
2020-04-30,26,6,0,38259.57221559309,709692.4995383932,3.397201142447849e-21,69.63632824286577
2020-04-30,27,1,0,346.71698601452454,8216.199660639797,1.825560621006778e-17,108.78895556383198
2020-04-30,27,2,0,255.59608253725787,5580.60794159565,3.960719854589138e-15,190.49259812232404
2020-04-30,27,6,0,1142.0003208273763,25830.964546263465,9.104492955403648e-21,51.516897855374566
2020-04-30,28,1,0,34027.2709098669,632109.1061408782,3.222776611572178e-21,77.10003064563605
2020-04-30,29,1,0,511.06601871616203,12314.817247733274,6.487848690611546e-20,78.46463471087344
2020-04-30,29,2,0,1010.3921925270046,23145.569755720997,1.1905356794209307e-20,43.885470145900975
2020-04-30,29,6,1,1824.2231931823835,147.89532572093935,3.4498697047498353e-11,92.47459545828924
2020-05-31,1,1,1,198.75072653781436,129.85224776629065,0.09569885353409381,170.63855196232026
2020-05-31,1,2,0,677.6702984927397,13853.201241741766,4.1061574634167387e-20,77.76555646437396
2020-05-31,1,6,0,2325.334411807383,40897.85932449977,6.283687891078164e-21,40.00862704443422
2020-05-31,2,1,0,279.7909353203439,5292.430376905847,3.1038045629746636e-14,293.43205718893154
2020-05-31,2,2,0,347.57508268418906,7032.782709447734,6.299674539172503e-16,219.79487067533228
2020-05-31,2,6,0,1066.9719387658968,20749.935234791876,1.7728504933990253e-20,59.77223220044251
2020-05-31,3,1,1,262.22032135429026,130.98101457725966,0.12203359613278278,187.2621659360605
2020-05-31,3,2,2,445.0597424997895,84.65026660084851,3.7230412450890496e-10,78.87694503798033
2020-05-31,3,6,0,1944.3246381298557,34969.776177623695,8.0372542004472e-21,41.983914867748375
2020-05-31,4,1,1,304.0426755829534,171.8238593590305,5.752307362264632e-15,129.4422946133608
2020-05-31,4,2,0,1164.8332344437063,22400.189427375,1.3534084114218505e-20,64.70400569267557
2020-05-31,4,6,0,4432.795338230598,72704.29445485822,4.784264636272303e-21,31.10998507598532
2020-05-31,5,1,0,526.749007907197,10930.24056389372,5.142392711190572e-19,113.31705451630548
2020-05-31,5,2,2,112.22598474048273,70.05690320641287,0.7623801801216668,101.66604800259643
2020-05-31,5,6,0,739.6628745990789,15000.487775472406,4.409317284792074e-20,102.70341589111456
2020-05-31,6,1,1,318.82894457977596,167.63769481052174,2.8787192113731954e-08,139.08082320439894
2020-05-31,7,1,1,519.7193432305494,172.39298182726915,9.65504248575852e-15,167.21788079741432
2020-05-31,7,2,1,230.22022877632855,171.7528138723814,1.8556232348204086e-14,136.83920098641326
2020-05-31,7,6,0,2749.8947901162087,47410.78535813435,6.472845958784985e-21,28.579877617604634
2020-05-31,8,1,0,580.4246541830065,11995.134061960249,6.829705897266272e-19,108.03223043096408
2020-05-31,8,2,0,356.5207380641536,7246.45649091711,3.56066066322908e-16,183.82416618989438
2020-05-31,8,6,0,1985.3992033249274,35613.63751344466,7.966191460181011e-21,50.40688304545286
2020-05-31,9,1,7,125.32239270984438,24.67035852418875,6.351812262565658,38.31062574560251
2020-05-31,9,2,1,484.33832355510623,157.61339779286098,0.00012216078552614062,160.58528058949847
2020-05-31,9,6,0,5015.014753058079,81345.18093542827,4.657479967202458e-21,24.80752689741038
2020-05-31,10,1,1,10203.774905472132,172.55076076072783,4.7897935686818607e-14,201.605420446942
2020-05-31,10,2,3,4780.837452736066,57.208376779773765,7.224949892602878e-11,81.43720469413846
2020-05-31,10,6,2,85400.41660364809,86.86903020774793,1.045550109985714e-09,128.79689946883795
2020-05-31,11,1,0,898.7620394233611,17848.38213818218,2.872857644273947e-20,71.97496922210537
2020-05-31,11,2,0,1072.958668134379,20851.598961524272,1.617174797151967e-20,59.323618796146945
2020-05-31,11,6,0,5816.258347915242,93184.2545980274,4.036179193029585e-21,44.525476199669406
2020-05-31,12,1,2,299.0294532209202,86.38929305506238,2.854915594541851e-10,127.10169916420298
2020-05-31,12,2,0,420.6765088444297,8706.691321702705,5.175543950134831e-17,175.32125977288794
2020-05-31,12,6,0,1562.6741192714906,28914.232767516067,1.0738468752447449e-20,33.787539127752076
2020-05-31,13,1,0,4681.449895991214,76399.30601848371,4.481010760971727e-21,37.72192115620248
2020-05-31,13,2,0,2423.0751780845876,42404.67128412489,6.428071954104381e-21,25.515800802223943
2020-05-31,13,6,0,27272.080467472642,405551.15283380024,3.2559797323868926e-21,46.03001783219123
2020-05-31,14,1,2,553.4080604922577,85.24644649997136,4.21668492472548e-15,85.16398137046748
2020-05-31,14,2,2,51100.44993698142,86.44894561953143,1.1918556933587688e-11,121.37852400642205
2020-05-31,14,6,2,277230.1166036481,85.80623372186741,7.194664918660607e-13,126.62682921970422
2020-05-31,15,1,4,314.4155771048835,42.76462311630145,2.1805167112204246e-10,62.74963030462548
2020-05-31,15,2,4,9096.909962188853,42.399247600542374,2.8636602626002703e-12,44.1140446205275
2020-05-31,15,6,1,46662.17490547214,173.84480256618778,1.0857558426189442e-14,263.28698513568827
2020-05-31,16,1,0,2339.4052242897187,41115.08857451043,6.165845151056223e-21,35.541659345551416
2020-05-31,17,1,0,1167.694880858555,22448.09579986392,1.504162790485485e-20,67.31875848297574
2020-05-31,17,2,1,638.4822171794054,161.0121717784003,0.0001381389256587336,200.91855670184032
2020-05-31,17,6,0,2094.553336741836,37318.61482351842,7.913578097972663e-21,47.416593232826955
2020-05-31,18,1,0,1167.5709761418007,22446.02191790121,1.4007995441005786e-20,66.20696812062127
2020-05-31,18,2,1,618.1504248646199,168.9838225173524,1.1234512978786318e-10,126.87021650249426
2020-05-31,18,6,0,8748.387701837828,136210.69790079255,3.89451472002044e-21,52.67741803482306
2020-05-31,19,1,0,243.82174267855885,4231.94794968994,5.402647285682298e-13,408.5105978729617
2020-05-31,19,2,1,206.2833329425642,130.30368192078336,0.10843118178676225,170.21619596146834
2020-05-31,19,6,0,509.77914742689836,10586.321384223327,8.974563986329016e-19,149.37568058232412
2020-05-31,20,1,0,343.48554186570186,6934.10248981374,1.7119794677887694e-15,192.69687244795006
2020-05-31,20,2,0,292.6371616467378,5642.741325013175,6.2022339771553596e-15,263.2205204599288
2020-05-31,20,6,1,574.4273954285791,169.48875344271923,2.1822150048001593e-15,128.58107563008858
2020-05-31,21,1,0,1196.6962128108328,22932.564993331947,1.392434107239228e-20,63.090298034832415
2020-05-31,22,1,0,2197.4062366477465,38917.77579838669,7.706557147632503e-21,34.30635331046941
2020-05-31,22,2,1,8304.991966060572,159.09520838069545,0.00010702433977564525,216.06388894891253
2020-05-31,22,6,0,56843.59943902539,834385.2609687361,3.45783848088085e-21,120.16813589890994
2020-05-31,23,1,0,599.8214893006118,12372.400197043957,2.677033209418109e-19,120.45350041738762
2020-05-31,23,2,0,868.212786899878,17310.597314795323,2.78001495669932e-20,61.003005724810514
2020-05-31,23,6,0,3003.505321763426,51267.06216834926,5.43280205607315e-21,26.52571682808054
2020-05-31,24,1,0,4593.957206881945,75100.01093006559,4.745930302504069e-21,33.88910219816982
2020-05-31,24,2,1,2118.8026471643734,147.17217161473113,0.005361362843618286,181.3737438892708
2020-05-31,24,6,0,30450.051745201537,451658.9945030327,3.2737466558683123e-21,60.206459658007184
2020-05-31,25,1,0,739.1173309929846,14990.49758140429,3.522260178388067e-20,79.7405470108851
2020-05-31,26,1,0,1294.0865753012067,24546.62847610573,1.0852440014695024e-20,63.74377390204394
2020-05-31,26,2,1,10313.482196414505,159.9793705574359,7.501301289352324e-05,227.0971957830817
2020-05-31,26,6,0,38280.95254017259,565240.8844343335,3.3468950466765763e-21,78.61768068183524
2020-05-31,27,1,0,368.0973105940225,7518.817504555804,1.3721562453566877e-16,152.12932098517535
2020-05-31,27,2,0,276.97640711675575,5214.003970261453,1.4987656997314238e-14,289.3526085619086
2020-05-31,27,6,0,1163.3806454068742,22375.864687949666,1.3388673448650395e-20,53.756975184278346
2020-05-31,28,1,0,34048.6512344464,503859.01366658433,3.330327003399293e-21,100.26389718004174
2020-05-31,29,1,0,532.4463432956599,11044.869927831862,8.168630757605164e-19,102.75040748549404
2020-05-31,29,2,0,1031.7725171065024,20150.1650002615,1.683126810975104e-20,52.10793912293372
2020-05-31,29,6,1,1834.9133554721325,170.0123966429891,2.3269608588518747e-12,105.69026877830139
