cutoff,subsystem,ftype,n_fail_cum,gamma,m1,m1_lo95,m1_hi95,m3,m3_lo95,m3_hi95,max_rhat
2020-04-30,2,2,0,326.1947581046912,320.8062397007488,59.015838052287734,2099.2198678885147,7657.113550392287,7.807243508285288e-17,175.56691293554698,1.0051138607102688
2020-04-30,2,6,0,1045.5916141863988,845.0994522309228,107.56139823492468,7146.613204827952,23868.045025405838,1.1658549829189945e-20,30.132039772570426,1.0051138607102688
2020-04-30,3,1,1,251.5301590645413,210.7772679097736,46.11655314997898,1091.6400019941743,114.80976959973044,0.09656904329156545,182.62820817958246,1.0051138607102688
2020-04-30,3,2,1,656.8994514599352,365.07064275296653,64.62685435120208,2331.282635510063,139.99886948437748,6.944225701039938e-05,198.7868551621377,1.0051138607102688
2020-04-30,3,6,0,1922.9443135503577,1370.4953192085418,159.64592766413273,12913.8340509562,41199.02584845846,6.227782416260692e-21,17.19615313128437,1.0051138607102688
2020-04-30,4,1,1,293.3525132932044,224.6796272435536,49.545026026306694,1185.3214929987455,150.13676507598075,3.849372617194808e-15,116.9853473656114,1.0051138607102688
2020-04-30,4,2,0,1143.4529098642083,895.3557379680846,117.8772970074522,7751.882885721285,25860.376864455546,9.489949911051884e-21,37.62759611906251,1.0051138607102688
2020-04-30,4,6,0,4411.4150136511,2796.0352531449967,264.30605442765074,28874.5576114435,88081.17004884049,4.0625146365027226e-21,25.243241438545056,1.0051138607102688
2020-04-30,5,1,0,505.36868332769905,470.04245721022227,75.36830716091285,3329.042835204766,12180.528749567908,2.8481747201600316e-20,76.56784982537911,1.0051138607102688
2020-04-30,5,2,2,105.0992098806501,96.2400665966609,28.583865734800007,349.99871503220936,62.04025733612065,0.42631517487414294,89.0154294873259,1.0051138607102688
2020-04-30,5,6,0,718.2825500195811,622.0676585889485,91.90540663876054,4867.78493025527,16984.077555715045,2.5463751630339962e-20,61.18695398421163,1.0051138607102688
2020-04-30,6,1,1,308.13878229002705,236.31253339440136,49.39888902290116,1347.602602197199,146.79982747041504,1.0882106789582915e-08,122.91211645373856,1.0051138607102688
2020-04-30,7,1,1,509.0291809408005,313.9448030232935,56.34509222901611,2051.2387393028216,150.5937950182184,2.6254551194812024e-15,142.54256123564372,1.0051138607102688
2020-04-30,7,2,1,219.53006648657964,196.81640185221934,42.922234695685354,1059.1528381432104,150.03390419163043,1.2819905385001265e-14,110.94274577519299,1.0051138607102688
2020-04-30,7,6,0,2728.5144655367108,1871.9351320464882,197.3326872730172,19329.178394836017,56563.89159551508,4.854685083403875e-21,30.40847772172576,1.0051138607102688
2020-04-30,8,1,0,559.0443296035086,517.9439451255085,79.38136528825294,3965.3682296414718,13430.438759307652,2.829370632308844e-20,68.29392365295342,1.0051138607102688
2020-04-30,8,2,0,335.1404134846557,334.8902544295111,58.514691153755095,2301.2094350411066,7902.704331383899,3.981999230069095e-17,144.02559208150046,1.0051138607102688
2020-04-30,8,6,0,1964.0188787454294,1406.8453455380582,162.73215040946974,13461.119666413777,41990.674366231055,5.6796929479738785e-21,26.956298823113254,1.0051138607102688
2020-04-30,9,1,5,163.53313618320954,49.539470718192526,18.64164884425624,131.3788288046372,30.37261055850173,4.886632689539638,49.23443562820599,1.0051138607102688
2020-04-30,9,2,1,473.6481612653573,306.7338642288784,56.80085627268843,1926.9555561844036,125.1923299882329,0.006699014814356907,161.79962977655492,1.0051138607102688
2020-04-30,9,6,0,4993.634428478581,3166.6113378902405,289.7706176765941,35003.625865728995,98897.50475587428,4.0513412979192346e-21,29.329594423629086,1.0051138607102688
2020-04-30,10,1,1,10193.084743182384,2640.2754707594845,250.05895108656617,27005.985019784384,150.85402070932398,7.959875244246383e-14,179.9519811460625,1.0051138607102688
2020-04-30,10,2,1,9550.984743182384,2470.8923075157663,244.0114943106559,26625.75848003199,149.7769583480159,3.5979602207194485e-14,100.08699612093552,1.0051138607102688
2020-04-30,10,6,1,128089.93474318238,27127.867870083595,2080.924852159972,310287.4825535498,150.46724608589702,8.209227211314626e-16,114.61045283858103,1.0051138607102688
2020-04-30,11,1,0,877.3817148438633,743.3168990639662,102.41993655692073,6110.130637552051,20381.69661814084,1.3842007608001997e-20,52.27939606675852,1.0051138607102688
2020-04-30,11,2,0,1051.578343554881,855.133112778441,113.20780671098598,7552.229729667384,23990.596156921325,9.492494101364166e-21,43.48438996629563,1.0051138607102688
2020-04-30,11,6,0,5794.878023335744,3603.963038351467,330.5024458772219,38750.871902135834,113742.50498270064,4.099334070329589e-21,27.10019593743946,1.0051138607102688
2020-04-30,12,1,2,291.90267836108757,149.28421604914132,37.41891600314489,674.0463745542512,75.43938843627146,2.1802316119987118e-10,111.12881035710257,1.0051138607102688
2020-04-30,12,2,0,399.29618426493187,382.4159777319422,67.61314696720721,2565.5787859000498,9589.044213078121,4.939220050618827e-19,151.10206622934297,1.0051138607102688
2020-04-30,12,6,0,1541.2937946919926,1137.0796713656339,138.53420369516186,10376.769635163739,33778.60320858751,7.101332069960496e-21,28.804606770832233,1.0051138607102688
2020-04-30,13,1,0,4660.069571411716,3039.833173838822,298.49343548693116,31424.13142565989,92704.23159912782,4.306191982606581e-21,33.13463689770499,1.0051138607102688
2020-04-30,13,2,0,2401.6948535050897,1676.4856214109586,182.24029433208267,15675.515465816286,50365.63191071113,5.564495811590444e-21,20.76335756333476,1.0051138607102688
2020-04-30,13,6,0,27250.700142893147,15596.510659019501,1137.3596515860172,178563.36934188398,507869.18370336114,3.451368812432511e-21,55.09172880898366,1.0051138607102688
2020-04-30,14,1,0,1638.8438568972751,1212.5833426501988,148.0671235054441,10520.601582000681,35687.967696189524,6.896031647160816e-21,29.296107724043345,1.0051138607102688
2020-04-30,14,2,2,51093.32316212158,3753.546451474173,337.9443362409436,38705.0239899107,75.63608196483585,4.1220931706835936e-11,108.04067916326636,1.0051138607102688
2020-04-30,14,6,2,277222.98982878827,17684.728246708473,1419.6415132077086,206972.47469093677,74.93949674179505,5.199724863386219e-13,110.76573858019552,1.0051138607102688
