cutoff,subsystem,ftype,n_fail_cum,gamma,m1,m1_lo95,m1_hi95,m3,m3_lo95,m3_hi95,max_rhat
2021-04-30,15,1,7,236.19202132129791,101.08547256565305,49.475784274347546,235.86566809483904,5788.429115048039,64.81394807858472,541950.948986918,1.0054030185154779
2021-04-30,15,2,9,4580.200809599023,102.69550263714221,50.00297249822032,241.48918729352718,512.4782532632237,153.98124737670992,1671.5148317310488,1.0054030185154779
2021-04-30,15,6,1,46820.904047995115,6621.058974328603,782.2873387570074,71678.33222137147,3562917.977101486,2475.140103231114,3500939214.1541142,1.0054030185154779
2021-04-30,16,1,1,1328.4317546678421,704.0200112864688,171.24941988682696,4167.410417487563,3130.47457539862,105.44101072624284,85498.40056149449,1.0054030185154779
2021-04-30,17,1,0,1485.1531659045208,1045.8796952621467,215.04772246727512,7274.515501727425,38708.46174496016,0.015711380351697463,65431818704.13317,1.0054030185154779
2021-04-30,17,2,2,531.4742398015923,338.27272422916394,111.57314245215676,1406.1205307350615,1696.2648404381443,45.26734515467637,65697.57590772708,1.0054030185154779
2021-04-30,17,6,0,2412.011621787802,1442.926366874832,275.6832445293932,10775.782088766586,49356.18246710959,0.012732675795932897,220347556783.2506,1.0054030185154779
2021-04-30,18,1,1,742.5146305938832,540.2802383892367,146.3610091531509,2764.8459309726168,104491.75993756113,4.1119837926689415,2487681718.5869346,1.0054030185154779
2021-04-30,18,2,2,517.9197115917353,333.79441726620996,107.80488510353533,1352.7770350518817,2635.862315020801,49.41809853893062,147011.6723761746,1.0054030185154779
2021-04-30,18,6,0,9065.845986883794,3832.593182536774,511.99365449758517,37564.36322304033,113915.36415999747,0.0023130294112053934,5202423219737.099,1.0054030185154779
2021-04-30,19,1,0,561.2800277245248,400.1634450889409,122.17596714148402,1715.7568743603147,31471.262690617663,0.078839621067384,10505265675.358095,1.0054030185154779
2021-04-30,19,2,4,146.00499018621886,143.16665030373264,63.40187207890493,381.4767411145812,444.52322352249956,83.10480070265491,2353.4002990688523,1.0054030185154779
2021-04-30,19,6,0,827.2374324728643,654.798187560748,161.44716435014655,3587.420015136637,30769.903425010743,0.04243542445933148,28088034140.029133,1.0054030185154779
2021-04-30,20,1,2,220.31460897055592,227.04172594330242,81.99763846942443,767.880988541923,1174.335289270286,78.53024955735015,18710.236093129246,1.0054030185154779
2021-04-30,20,2,2,203.3651488975679,211.46756741312396,81.95502550549165,712.4111581008334,31159.469784495894,19.24564864727349,44419747.14061832,1.0054030185154779
2021-04-30,20,6,2,488.77102530104133,333.05922244389524,109.21605970943276,1364.7147141177581,133503.50535363556,10.249730046557039,1919099608.9590063,1.0054030185154779
2021-04-30,21,1,1,757.0772489283994,540.2737930710535,146.38075565928636,2694.0206456539563,9401166.795752117,3.9550305266955927,35674666495488.93,1.0054030185154779
2021-04-30,22,1,0,2514.8645216937125,1518.8166758488062,277.89337582146527,11969.356674969053,50483.28000773053,0.011740684879848176,300786976376.54626,1.0054030185154779
2021-04-30,22,2,1,8463.721108583555,1896.2254854318994,319.99024127586387,15088.18936490569,261032.81863349365,1003.0332931367024,69484517.50125016,1.0054030185154779
2021-04-30,22,6,1,28580.52886203568,4392.367510371688,577.0411147356515,41145.677195127064,45532.93635937497,156.89297590558922,16846057.553174082,1.0054030185154779
2021-04-30,23,1,1,458.63988717328886,407.1179468032995,123.47302874819437,1755.102223900286,3494.885443008153,114.72924480097114,110455.72314883054,1.0054030185154779
2021-04-30,23,2,0,1185.671071945844,885.2870697073132,194.70289898455064,5462.2166566337155,35050.34646910364,0.0310165048050719,74575967030.28699,1.0054030185154779
2021-04-30,23,6,0,3320.9636068093914,1839.1325233017699,323.23980617082185,14889.314081857317,59048.826251224345,0.006408486189564387,566118893599.8528,1.0054030185154779
2021-04-30,24,1,0,4911.415491927911,2366.070365230804,382.021497164552,20143.263528261927,75004.67213350713,0.0055556600585483,1281941624989.021,1.0054030185154779
2021-04-30,24,2,1,2277.5317896873566,930.4207958149868,205.34000825239949,5821.639375919482,3652.891395486565,193.50947732234434,75180.94931674947,1.0054030185154779
2021-04-30,24,6,0,30767.510030247504,10250.231417030764,1032.578061955349,119903.53935822894,302824.4475846658,0.0008670958700201643,76900478646214.48,1.0054030185154779
2021-04-30,25,1,0,1056.5756160389506,805.5716471491216,178.79442692759892,5006.215505286541,33458.94822016914,0.024408647053454434,45166774354.122154,1.0054030185154779
2021-04-30,26,1,1,805.7724301735864,561.2393981464155,150.03782640867473,3037.534146952216,63420.79981569378,28.30600942474296,146390500.44486696,1.0054030185154779
2021-04-30,26,2,1,10472.211338937488,2220.104816902242,358.6351359633075,19089.80072525567,317944.2698045765,1263.191517993999,80797814.74667253,1.0054030185154779
2021-04-30,26,6,0,38598.41082521856,12282.33430894726,1201.536519618575,143665.35443352276,369532.18342954543,0.0011830000565930755,134704468410300.61,1.0054030185154779
