cell,subsystem,ftype,n_failures,n_failures_all,theta0,mtbf_map,mtbf_mean,mtbf_median,mtbf_lo95,mtbf_lo50,mtbf_hi50,mtbf_hi95,max_rhat
s20t2,20,2,2,2,123.5873507024729,656.0577606440219,2413.629203981961,1581.7894041566938,370.66124752388856,931.9208013646598,2893.9207314626983,9480.982026242928,1.0012135215611324
s20t6,20,6,3,3,979.8049799128931,1278.8258347165838,5074.169189504037,3137.206105897264,646.5539944391572,1759.298134342966,5913.396710341357,20712.245393159577,1.0015141575933473
s21t1,21,1,2,2,1027.6464018665679,1760.6869820596303,6572.094125394221,3973.714460568903,698.4747611758308,2112.8988496867537,7554.496740023352,28953.41229750712,1.0017523939906583
s21t2,21,2,1,1,,78008254.63338536,207062273.5367629,95158290.95693684,7991380.371056358,41022438.194119215,222443955.61204135,1126208271.30606,1.0024662644188422
s21t6,21,6,1,1,,122985287.86541985,311555461.5422638,142519124.31663424,11550757.831438227,59920410.02209735,336592659.68099874,1616233411.2509763,1.0015070416563363
s22t1,22,1,0,0,2028.3564257034816,4507.9550522290665,31713.996302854233,16838.604213625193,2399.7685005180506,8599.001144133748,34842.267647898756,147195.63531616936,1.0014330670424323
s22t2,22,2,2,2,16440.93412117688,9211.644317068392,33011.57664999301,17615.93000956661,2512.627238829073,8589.293956848484,36027.17871496821,163839.6080177382,1.0014956374434971
s22t6,22,6,2,2,56674.54962808113,79795.88914750087,222066.35621486485,104981.58542013318,12260.716632082076,49702.27689286205,229639.54112246356,1082626.956868679,1.001818581293575
s23t1,23,1,1,1,430.77167835634685,2155.859943304871,9612.12757784188,5662.822981567777,939.5665539577285,3018.6518942989487,10829.07544889604,44863.49362469451,1.0010416678739438
s23t2,23,2,0,0,699.1629759556131,2033.6887421748897,14362.396778848752,8395.956370773158,1349.7335348405973,4390.520202634274,15959.01858849517,63179.374137482504,1.0021517338171404
s23t6,23,6,0,0,2834.4555108191607,5967.572712387245,39687.61211795494,21427.47209839141,2844.7396578372955,10412.096871146296,43671.12608968737,184141.2679431094,1.0013540492695052
s24t1,24,1,0,0,4424.90739593768,8825.077079420571,53787.806653243984,28593.039658067297,3681.9487734154695,13819.67336502717,61036.883832071566,252643.31826307037,1.0024161215274607
s24t2,24,2,1,1,4068.555483384482,9623.788421012841,35156.08666956225,19019.14376506717,2549.3614274102983,9232.272131072525,39248.57418999732,167119.24063016166,1.0012871495907796
s24t6,24,6,0,0,30281.001934257274,54922.45382181057,267151.34557705227,128632.23532486298,14484.189822428805,60078.65226669193,287289.20515498234,1342569.5233830044,1.0011821338856175
s25t1,25,1,0,0,570.0675200487198,1778.8169050363836,12901.013553750527,7651.200820687092,1236.3274409668102,3945.0381031703996,14833.342258612276,56416.97499175704,1.0008573932556075
s25t2,25,2,0,0,,178108240.80045664,496412391.6276793,219321707.80482954,19900356.202698577,93627145.65487823,508878961.3060855,2668942394.971388,1.002393563856095
s25t6,25,6,0,0,,178108240.80045664,499298360.36551064,224254603.66857994,17798800.310872372,93565486.89905632,540541095.4184425,2656133441.9295263,1.0013057399222314
s26t1,26,1,1,1,1125.0367643569418,3111.1354237277446,14068.984605395388,8297.510306157254,1362.4563790333102,4207.642493659516,16336.6334789186,64938.393121148016,1.0010111819252303
s26t2,26,2,1,1,20457.914581884746,33556.81503985184,114137.38230519896,59329.30432316802,6640.547330211578,27635.464059427737,123439.96245547336,560377.3170795251,1.0010973984833933
s26t6,26,6,0,0,38111.90272922833,68871.70094693464,331714.4195616886,157040.8013316328,16763.626820732323,74036.54120904332,354771.3318654155,1687869.8708483279,1.0008311445632914
s27t1,27,1,0,0,199.04749964975753,980.2851962653908,6868.674237721959,4317.974967578203,812.37919884106,2347.079155445809,8199.21573766466,27915.272173018184,1.0007670202793242
s27t2,27,2,0,0,107.92659617249085,739.7278448517875,5129.304380904123,3159.117927330025,651.9194391890206,1732.6449877556588,5964.9537688789,22035.72753476581,1.001152445125357
s27t6,27,6,0,0,994.3308344626093,2599.539590645352,18799.272980961912,10650.387002051943,1680.650846615182,5531.744281045655,21732.039064965727,85426.37171674648,1.0016103500791695
s28t1,28,1,1,1,33879.601423502136,52048.48356985007,161772.91130523282,80241.81532462727,9426.30491247221,37689.54454417723,178201.95917407935,825612.3597306838,1.0009565100129358
s28t2,28,2,0,0,,178108240.80045664,485045169.9621023,225450941.89533937,21024882.512070335,95948465.18376525,528873120.75214964,2614654293.4033666,1.0013301658049076
s28t6,28,6,0,0,,178108240.80045664,490771379.9225404,221189717.2469696,19843940.78880142,95155311.3231471,511398689.4466815,2655724220.9856424,1.0010214263106445
s29t1,29,1,0,0,363.39653235139497,1352.7617765529494,10266.219401611868,5968.447885028994,982.4235375225401,3151.1485658647202,11398.102156622319,44884.599331745805,1.0007284361662632
s29t2,29,2,1,1,862.7227061622375,3007.5210903066586,13027.04229306357,7628.610811874762,1223.135233040208,3868.6992420480983,15206.446550306773,58404.226303043084,1.0018658978467752
s29t6,29,6,1,1,3500.7769,3838.4096822952047,20606.853874314882,11937.560730936293,1799.767052833098,5832.024271015748,24488.33646293563,91158.37486177271,1.0008585619871455
