subsystem,ftype,n_failures,n_failures_all,contractor,cf_final,cf_lo95,cf_hi95,mtbf_map,mtbf_mean,mtbf_median,mtbf_lo95,mtbf_hi95,ratio_glm_over_cf,cf_inside_mcmc_ci,map_inside_cf_ci,max_rhat
23,1,1,1,430.77167835634685,519.0467419617377,186.31728757294755,4285.936072160193,2155.859943304871,9612.12757784188,5662.822981567777,939.5665539577285,44863.49362469451,4.153498652465858,False,True,1.0010416678739438
23,2,0,0,699.1629759556131,1306.4847815227415,354.1684670844192,51603.392455359375,2033.6887421748897,14362.396778848752,8395.956370773158,1349.7335348405973,63179.374137482504,1.5566111224078503,False,True,1.0021517338171404
23,6,0,0,2834.4555108191607,3441.7773163862894,933.0143094125585,135942.94255339837,5967.572712387245,39687.61211795494,21427.47209839141,2844.7396578372955,184141.2679431094,1.7338636883843859,True,True,1.0013540492695052
24,1,0,0,4424.90739593768,5032.229201504809,1364.1620074878658,198762.4364884745,8825.077079420571,53787.806653243984,28593.039658067297,3681.9487734154695,252643.31826307037,1.7537112730838196,True,True,1.0024161215274607
24,2,1,1,4068.555483384482,2337.938644475805,839.2276678288381,19305.112161930916,9623.788421012841,35156.08666956225,19019.14376506717,2549.3614274102983,167119.24063016166,4.116356279816151,False,True,1.0012871495907796
24,6,0,0,30281.001934257274,30888.323739824402,8373.36218872019,1220023.6196984795,54922.45382181057,267151.34557705227,128632.23532486298,14484.189822428805,1342569.5233830044,1.778097584201337,True,True,1.0011821338856175
25,1,0,0,570.0675200487198,1177.389325615848,319.17262145901583,46504.39431195773,1778.8169050363836,12901.013553750527,7651.200820687092,1236.3274409668102,56416.97499175704,1.5108145337617627,False,True,1.0008573932556075
26,1,1,1,1125.0367643569418,866.1792849620351,310.92416516487503,7152.321250193637,3111.1354237277446,14068.984605395388,8297.510306157254,1362.4563790333102,64938.393121148016,3.5917915352410055,False,True,1.0010111819252303
26,2,1,1,20457.914581884746,10532.618193725937,3780.7940870210814,86971.21974056905,33556.81503985184,114137.38230519896,59329.30432316802,6640.547330211578,560377.3170795251,3.185989886146347,True,True,1.0010973984833933
26,6,0,0,38111.90272922833,38719.22453479546,10496.202170991184,1529327.6795061163,68871.70094693464,331714.4195616886,157040.8013316328,16763.626820732323,1687869.8708483279,1.7787469086588323,True,True,1.0008311445632914
27,1,0,0,199.04749964975753,806.369305216886,218.5946478455949,31849.886282305786,980.2851962653908,6868.674237721959,4317.974967578203,812.37919884106,27915.272173018184,1.2156777172981892,False,True,1.0007670202793242
27,2,0,0,107.92659617249085,715.2484017396192,193.89313493070514,28250.80284136142,739.7278448517875,5129.304380904123,3159.117927330025,651.9194391890206,22035.72753476581,1.0342250930622559,True,True,1.001152445125357
27,6,0,0,994.3308344626093,1601.6526400297378,434.1840550640744,63261.900122774845,2599.539590645352,18799.272980961912,10650.387002051943,1680.650846615182,85426.37171674648,1.623035810434581,False,True,1.0016103500791695
28,1,1,1,33879.601423502136,17243.461614534634,6189.721920314385,142384.81463793025,52048.48356985007,161772.91130523282,80241.81532462727,9426.30491247221,825612.3597306838,3.0184474981507217,True,True,1.0009565100129358
29,1,0,0,363.39653235139497,970.7183379185234,263.1472104180452,38341.32633128707,1352.7617765529494,10266.219401611868,5968.447885028994,982.4235375225401,44884.599331745805,1.3935677566920475,False,True,1.0007284361662632
29,2,1,1,862.7227061622375,735.022255864683,263.8439700071406,6069.315430715545,3007.5210903066586,13027.04229306357,7628.610811874762,1223.135233040208,58404.226303043084,4.091741530695012,False,True,1.0018658978467752
29,6,1,1,3500.7769,2054.0493527835642,737.3226205123042,16960.946873145658,3838.4096822952047,20606.853874314882,11937.560730936293,1799.767052833098,91158.37486177271,1.8687037276361194,True,True,1.0008585619871455
